Date : 2025-01-09 11:15:23
Directory : d:\Websites\Krish Sataisya - Portfolio
Total : 631 files,  216211 codes, 11204 comments, 24874 blanks, all 252289 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\clearfix.less                  | Less        |         10 |         11 |          2 |         23 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\forms.less                     | Less        |         54 |         25 |          7 |         86 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\gradients.less                 | Less        |         46 |          9 |          5 |         60 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\grid-framework.less            | Less        |         76 |         10 |          6 |         92 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\grid.less                      | Less        |        104 |          9 |         10 |        123 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\hide-text.less                 | Less        |         10 |          9 |          3 |         22 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\image.less                     | Less        |         18 |         10 |          6 |         34 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\labels.less                    | Less        |          9 |          1 |          3 |         13 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\list-group.less                | Less        |         24 |          1 |          5 |         30 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\nav-divider.less               | Less        |          6 |          3 |          2 |         11 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\nav-vertical-align.less        | Less        |          4 |          4 |          2 |         10 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\opacity.less                   | Less        |          5 |          2 |          2 |          9 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\pagination.less                | Less        |         21 |          1 |          2 |         24 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\panels.less                    | Less        |         20 |          1 |          4 |         25 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\bootstrap\mixins\progress-bar.less              | Less        |          6 |          2 |          3 |         11 |
