Date : 2025-01-09 11:15:23
Directory : d:\Websites\Krish Sataisya - Portfolio
Total : 631 files,  216211 codes, 11204 comments, 24874 blanks, all 252289 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| CSS         |         36 |     69,002 |      1,020 |     12,862 |     82,884 |
| JavaScript  |         98 |     48,340 |      7,936 |      7,040 |     63,316 |
| XML         |        296 |     34,385 |        252 |        273 |     34,910 |
| Django HTML |         23 |     23,028 |          0 |      1,453 |     24,481 |
| Less        |        103 |     19,865 |      1,752 |      2,769 |     24,386 |
| JSON        |         12 |     12,227 |          0 |          4 |     12,231 |
| SCSS        |         61 |      9,260 |        244 |        436 |      9,940 |
| Pug         |          1 |         86 |          0 |         27 |        113 |
| PHP         |          1 |         18 |          0 |         10 |         28 |
+-------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                |        631 |    216,211 |     11,204 |     24,874 |    252,289 |
| . (Files)                                                                                                                                        |          5 |      3,437 |          0 |         74 |      3,511 |
| @secure-krish                                                                                                                                    |          2 |         26 |          0 |          0 |         26 |
| @temp                                                                                                                                            |          1 |        207 |          0 |         42 |        249 |
| @temp\login-form-main                                                                                                                            |          1 |        207 |          0 |         42 |        249 |
| Games                                                                                                                                            |          4 |      4,258 |          0 |      1,509 |      5,767 |
| Games\Archry                                                                                                                                     |          1 |        299 |          0 |         30 |        329 |
| Games\Cube                                                                                                                                       |          3 |      3,959 |          0 |      1,479 |      5,438 |
| Pages                                                                                                                                            |          3 |        923 |          0 |         98 |      1,021 |
| Projects                                                                                                                                         |        450 |     84,936 |      9,634 |      8,697 |    103,267 |
| Projects\3D Solar System                                                                                                                         |          3 |      1,312 |         72 |        330 |      1,714 |
| Projects\404                                                                                                                                     |          3 |        294 |         13 |         51 |        358 |
| Projects\Animated Periodic Table                                                                                                                 |          5 |      5,311 |          0 |         47 |      5,358 |
| Projects\Calculator                                                                                                                              |          3 |        234 |          5 |         10 |        249 |
| Projects\Celender Pro                                                                                                                            |          3 |      1,322 |        261 |        259 |      1,842 |
| Projects\Graph - Book                                                                                                                            |          4 |      1,820 |        378 |        830 |      3,028 |
| Projects\Keybord                                                                                                                                 |          3 |        292 |          6 |         35 |        333 |
| Projects\Notes                                                                                                                                   |          3 |        195 |          0 |         42 |        237 |
| Projects\White Bord Pro                                                                                                                          |          3 |        331 |         28 |         82 |        441 |
| Projects\electron-builder                                                                                                                        |          4 |        493 |          2 |         39 |        534 |
| Projects\electron-builder\dist                                                                                                                   |          3 |        407 |          2 |         12 |        421 |
| Projects\electron-builder\src                                                                                                                    |          1 |         86 |          0 |         27 |        113 |
| Projects\photo editing web application                                                                                                           |        416 |     73,332 |      8,869 |      6,972 |     89,173 |
| Projects\photo editing web application (Files)                                                                                                   |          6 |      1,089 |         27 |        210 |      1,326 |
| Projects\photo editing web application\assets                                                                                                    |        410 |     72,243 |      8,842 |      6,762 |     87,847 |
| Projects\photo editing web application\assets\css                                                                                                |          2 |         63 |         10 |          1 |         74 |
| Projects\photo editing web application\assets\fonts                                                                                              |          1 |        773 |          0 |          0 |        773 |
| Projects\photo editing web application\assets\images                                                                                             |        244 |     32,668 |        244 |        244 |     33,156 |
| Projects\photo editing web application\assets\images\stickers                                                                                    |        244 |     32,668 |        244 |        244 |     33,156 |
| Projects\photo editing web application\assets\images\stickers\beach                                                                              |         22 |        497 |         22 |         22 |        541 |
| Projects\photo editing web application\assets\images\stickers\doodles                                                                            |        100 |     25,778 |        100 |        100 |     25,978 |
| Projects\photo editing web application\assets\images\stickers\landmarks                                                                          |        100 |      5,909 |        100 |        100 |      6,109 |
| Projects\photo editing web application\assets\images\stickers\transportation                                                                     |         22 |        484 |         22 |         22 |        528 |
| Projects\photo editing web application\assets\js                                                                                                 |         59 |     18,570 |      6,836 |      3,747 |     29,153 |
| Projects\photo editing web application\assets\js (Files)                                                                                         |          1 |         26 |          0 |          0 |         26 |
| Projects\photo editing web application\assets\js\editor                                                                                          |         45 |      3,116 |        209 |        815 |      4,140 |
| Projects\photo editing web application\assets\js\editor (Files)                                                                                  |         11 |        908 |         79 |        263 |      1,250 |
| Projects\photo editing web application\assets\js\editor\basics                                                                                   |          4 |        249 |          7 |         65 |        321 |
| Projects\photo editing web application\assets\js\editor\crop                                                                                     |          3 |        376 |          9 |        107 |        492 |
| Projects\photo editing web application\assets\js\editor\directives                                                                               |          8 |        246 |          4 |         49 |        299 |
| Projects\photo editing web application\assets\js\editor\drawing                                                                                  |          3 |        208 |          9 |         67 |        284 |
| Projects\photo editing web application\assets\js\editor\filters                                                                                  |          2 |        184 |          1 |         40 |        225 |
| Projects\photo editing web application\assets\js\editor\objects                                                                                  |          2 |        126 |          6 |         27 |        159 |
| Projects\photo editing web application\assets\js\editor\resources                                                                                |          2 |        158 |          0 |          8 |        166 |
| Projects\photo editing web application\assets\js\editor\shapes                                                                                   |          5 |        411 |         23 |        107 |        541 |
| Projects\photo editing web application\assets\js\editor\text                                                                                     |          5 |        250 |         71 |         82 |        403 |
| Projects\photo editing web application\assets\js\vendor                                                                                          |         13 |     15,428 |      6,627 |      2,932 |     24,987 |
| Projects\photo editing web application\assets\less                                                                                               |        104 |     20,169 |      1,752 |      2,770 |     24,691 |
| Projects\photo editing web application\assets\less (Files)                                                                                       |          2 |      1,370 |          3 |        286 |      1,659 |
| Projects\photo editing web application\assets\less\vendor                                                                                        |        102 |     18,799 |      1,749 |      2,484 |     23,032 |
| Projects\photo editing web application\assets\less\vendor (Files)                                                                                |          5 |     10,738 |        211 |      1,251 |     12,200 |
| Projects\photo editing web application\assets\less\vendor\bootstrap                                                                              |         71 |      5,682 |      1,508 |      1,216 |      8,406 |
| Projects\photo editing web application\assets\less\vendor\bootstrap (Files)                                                                      |         42 |      4,949 |      1,350 |      1,102 |      7,401 |
| Projects\photo editing web application\assets\less\vendor\bootstrap\mixins                                                                       |         29 |        733 |        158 |        114 |      1,005 |
| Projects\photo editing web application\assets\less\vendor\material-icons                                                                         |         26 |      2,379 |         30 |         17 |      2,426 |
| Projects\photo editing web application\assets\less\vendor\material-icons (Files)                                                                 |         11 |        147 |         30 |         17 |        194 |
| Projects\photo editing web application\assets\less\vendor\material-icons\icons                                                                   |         15 |      2,232 |          0 |          0 |      2,232 |
| Terms And Condition                                                                                                                              |         13 |     13,480 |          2 |        816 |     14,298 |
| Terms And Condition (Files)                                                                                                                      |          3 |      8,380 |          0 |        503 |      8,883 |
| Terms And Condition\cdn                                                                                                                          |          4 |      1,955 |          0 |        277 |      2,232 |
| Terms And Condition\cdn\css                                                                                                                      |          1 |      1,939 |          0 |        276 |      2,215 |
| Terms And Condition\cdn\css\login-signup                                                                                                         |          1 |      1,939 |          0 |        276 |      2,215 |
| Terms And Condition\cdn\images                                                                                                                   |          3 |         16 |          0 |          1 |         17 |
| Terms And Condition\cdn\images\homepage                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| Terms And Condition\cdn\images\homepage\desktop                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| Terms And Condition\cdn\images\homepage\desktop\design                                                                                           |          1 |          1 |          0 |          0 |          1 |
| Terms And Condition\cdn\images\new-homepage                                                                                                      |          1 |          4 |          0 |          1 |          5 |
| Terms And Condition\cdn\images\seo-templates                                                                                                     |          1 |         11 |          0 |          0 |         11 |
| Terms And Condition\static                                                                                                                       |          6 |      3,145 |          2 |         36 |      3,183 |
| Terms And Condition\static\JSON                                                                                                                  |          1 |      2,047 |          0 |          0 |      2,047 |
| Terms And Condition\static\css                                                                                                                   |          1 |        199 |          0 |         33 |        232 |
| Terms And Condition\static\css\haptik                                                                                                            |          1 |        199 |          0 |         33 |        232 |
| Terms And Condition\static\images                                                                                                                |          3 |         89 |          2 |          3 |         94 |
| Terms And Condition\static\metadata                                                                                                              |          1 |        810 |          0 |          0 |        810 |
| assets                                                                                                                                           |        124 |     94,935 |      1,563 |     12,821 |    109,319 |
| assets\css                                                                                                                                       |         19 |     60,849 |        663 |     11,484 |     72,996 |
| assets\img                                                                                                                                       |         21 |        235 |          1 |         19 |        255 |
| assets\img\hero                                                                                                                                  |          1 |         14 |          0 |          1 |         15 |
| assets\img\icons                                                                                                                                 |         20 |        221 |          1 |         18 |        240 |
| assets\js                                                                                                                                        |         23 |     24,591 |        655 |        882 |     26,128 |
| assets\sass                                                                                                                                      |         61 |      9,260 |        244 |        436 |      9,940 |
| assets\sass\components                                                                                                                           |         13 |      1,462 |         52 |         99 |      1,613 |
| assets\sass\layout                                                                                                                               |         48 |      7,798 |        192 |        337 |      8,327 |
| privacy-policy                                                                                                                                   |         13 |     13,592 |          2 |        815 |     14,409 |
| privacy-policy (Files)                                                                                                                           |          3 |      8,492 |          0 |        502 |      8,994 |
| privacy-policy\cdn                                                                                                                               |          4 |      1,955 |          0 |        277 |      2,232 |
| privacy-policy\cdn\css                                                                                                                           |          1 |      1,939 |          0 |        276 |      2,215 |
| privacy-policy\cdn\css\login-signup                                                                                                              |          1 |      1,939 |          0 |        276 |      2,215 |
| privacy-policy\cdn\images                                                                                                                        |          3 |         16 |          0 |          1 |         17 |
| privacy-policy\cdn\images\homepage                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| privacy-policy\cdn\images\homepage\desktop                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| privacy-policy\cdn\images\homepage\desktop\design                                                                                                |          1 |          1 |          0 |          0 |          1 |
| privacy-policy\cdn\images\new-homepage                                                                                                           |          1 |          4 |          0 |          1 |          5 |
| privacy-policy\cdn\images\seo-templates                                                                                                          |          1 |         11 |          0 |          0 |         11 |
| privacy-policy\static                                                                                                                            |          6 |      3,145 |          2 |         36 |      3,183 |
| privacy-policy\static\JSON                                                                                                                       |          1 |      2,047 |          0 |          0 |      2,047 |
| privacy-policy\static\css                                                                                                                        |          1 |        199 |          0 |         33 |        232 |
| privacy-policy\static\css\haptik                                                                                                                 |          1 |        199 |          0 |         33 |        232 |
| privacy-policy\static\images                                                                                                                     |          3 |         89 |          2 |          3 |         94 |
| privacy-policy\static\metadata                                                                                                                   |          1 |        810 |          0 |          0 |        810 |
| static                                                                                                                                           |         16 |        417 |          3 |          2 |        422 |
| static\images                                                                                                                                    |         16 |        417 |          3 |          2 |        422 |
| static\images (Files)                                                                                                                            |         14 |        415 |          3 |          2 |        420 |
| static\images\Icons                                                                                                                              |          2 |          2 |          0 |          0 |          2 |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                                         | language    | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| d:\Websites\Krish Sataisya - Portfolio\@secure-krish\143258769020.html                                                                           | Django HTML |         13 |          0 |          0 |         13 |
| d:\Websites\Krish Sataisya - Portfolio\@secure-krish\231005.html                                                                                 | Django HTML |         13 |          0 |          0 |         13 |
| d:\Websites\Krish Sataisya - Portfolio\@temp\login-form-main\index.html                                                                          | Django HTML |        207 |          0 |         42 |        249 |
| d:\Websites\Krish Sataisya - Portfolio\Games\Archry\index.html                                                                                   | Django HTML |        299 |          0 |         30 |        329 |
| d:\Websites\Krish Sataisya - Portfolio\Games\Cube\index.html                                                                                     | Django HTML |      1,011 |          0 |          2 |      1,013 |
| d:\Websites\Krish Sataisya - Portfolio\Games\Cube\script.js                                                                                      | JavaScript  |      2,611 |          0 |      1,469 |      4,080 |
| d:\Websites\Krish Sataisya - Portfolio\Games\Cube\style.css                                                                                      | CSS         |        337 |          0 |          8 |        345 |
| d:\Websites\Krish Sataisya - Portfolio\Pages\Graphics Design.html                                                                                | Django HTML |        277 |          0 |         33 |        310 |
| d:\Websites\Krish Sataisya - Portfolio\Pages\Projects.html                                                                                       | Django HTML |        364 |          0 |         32 |        396 |
| d:\Websites\Krish Sataisya - Portfolio\Pages\krishsatasiya.html                                                                                  | Django HTML |        282 |          0 |         33 |        315 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\3D Solar System\index.html                                                                       | Django HTML |        171 |          0 |          5 |        176 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\3D Solar System\script.js                                                                        | JavaScript  |         33 |          0 |          9 |         42 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\3D Solar System\style.css                                                                        | CSS         |      1,108 |         72 |        316 |      1,496 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\404\index.html                                                                                   | Django HTML |         52 |          0 |          8 |         60 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\404\script.js                                                                                    | JavaScript  |          0 |          0 |          1 |          1 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\404\style.css                                                                                    | CSS         |        242 |         13 |         42 |        297 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\Color Inditiy.svg                                                        | XML         |          1 |          0 |          0 |          1 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\index.html                                                               | Django HTML |         41 |          0 |          8 |         49 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\periodic-table-data.json                                                 | JSON        |      5,040 |          0 |          0 |      5,040 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\script.js                                                                | JavaScript  |        175 |          0 |         28 |        203 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Animated Periodic Table\style.css                                                                | CSS         |         54 |          0 |         11 |         65 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Calculator\index.html                                                                            | Django HTML |         46 |          0 |          3 |         49 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Calculator\script.js                                                                             | JavaScript  |        121 |          5 |          7 |        133 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Calculator\style.css                                                                             | CSS         |         67 |          0 |          0 |         67 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Celender Pro\celender.html                                                                       | Django HTML |        182 |          0 |         24 |        206 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Celender Pro\script.js                                                                           | JavaScript  |        152 |          7 |          2 |        161 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Celender Pro\style.css                                                                           | CSS         |        988 |        254 |        233 |      1,475 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\index.html                                                                          | Django HTML |        120 |          0 |         32 |        152 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\math.js                                                                             | JavaScript  |          3 |          4 |          0 |          7 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\script.js                                                                           | JavaScript  |      1,178 |        372 |        704 |      2,254 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Graph - Book\style.css                                                                           | CSS         |        519 |          2 |         94 |        615 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Keybord\index.html                                                                               | Django HTML |         80 |          0 |          4 |         84 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Keybord\script.js                                                                                | JavaScript  |         36 |          0 |         10 |         46 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Keybord\style.css                                                                                | CSS         |        176 |          6 |         21 |        203 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Notes\index.html                                                                                 | Django HTML |         45 |          0 |          4 |         49 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Notes\script.js                                                                                  | JavaScript  |         58 |          0 |         17 |         75 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\Notes\style.css                                                                                  | CSS         |         92 |          0 |         21 |        113 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\White Bord Pro\index.html                                                                        | Django HTML |         34 |          0 |          5 |         39 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\White Bord Pro\script.js                                                                         | JavaScript  |        248 |         28 |         71 |        347 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\White Bord Pro\style.css                                                                         | CSS         |         49 |          0 |          6 |         55 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\electron-builder\dist\index.html                                                                 | Django HTML |         81 |          0 |          3 |         84 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\electron-builder\dist\script.js                                                                  | JavaScript  |        144 |          2 |          2 |        148 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\electron-builder\dist\style.css                                                                  | CSS         |        182 |          0 |          7 |        189 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\electron-builder\src\index.pug                                                                   | Pug         |         86 |          0 |         27 |        113 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\css\integrate.css                                           | CSS         |         59 |          0 |          1 |         60 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\css\main.css                                                | CSS         |          4 |         10 |          0 |         14 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\fonts\Material-Design-Iconic-Font.svg                       | XML         |        773 |          0 |          0 |        773 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\1.svg                                 | XML         |         13 |          1 |          1 |         15 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\10.svg                                | XML         |         33 |          1 |          1 |         35 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\11.svg                                | XML         |         26 |          1 |          1 |         28 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\12.svg                                | XML         |          9 |          1 |          1 |         11 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\13.svg                                | XML         |         24 |          1 |          1 |         26 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\14.svg                                | XML         |         15 |          1 |          1 |         17 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\15.svg                                | XML         |         13 |          1 |          1 |         15 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\16.svg                                | XML         |         43 |          1 |          1 |         45 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\17.svg                                | XML         |         34 |          1 |          1 |         36 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\18.svg                                | XML         |         31 |          1 |          1 |         33 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\19.svg                                | XML         |         22 |          1 |          1 |         24 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\2.svg                                 | XML         |         13 |          1 |          1 |         15 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\20.svg                                | XML         |         23 |          1 |          1 |         25 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\21.svg                                | XML         |         10 |          1 |          1 |         12 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\22.svg                                | XML         |         24 |          1 |          1 |         26 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\3.svg                                 | XML         |         25 |          1 |          1 |         27 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\4.svg                                 | XML         |         24 |          1 |          1 |         26 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\5.svg                                 | XML         |         21 |          1 |          1 |         23 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\6.svg                                 | XML         |         19 |          1 |          1 |         21 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\7.svg                                 | XML         |         31 |          1 |          1 |         33 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\8.svg                                 | XML         |         27 |          1 |          1 |         29 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\beach\9.svg                                 | XML         |         17 |          1 |          1 |         19 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\1.svg                               | XML         |        254 |          1 |          1 |        256 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\10.svg                              | XML         |        159 |          1 |          1 |        161 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\100.svg                             | XML         |        200 |          1 |          1 |        202 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\11.svg                              | XML         |        392 |          1 |          1 |        394 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\12.svg                              | XML         |        292 |          1 |          1 |        294 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\13.svg                              | XML         |        250 |          1 |          1 |        252 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\14.svg                              | XML         |        369 |          1 |          1 |        371 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\15.svg                              | XML         |        193 |          1 |          1 |        195 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\16.svg                              | XML         |        382 |          1 |          1 |        384 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\17.svg                              | XML         |        345 |          1 |          1 |        347 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\18.svg                              | XML         |        285 |          1 |          1 |        287 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\19.svg                              | XML         |        240 |          1 |          1 |        242 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\2.svg                               | XML         |        226 |          1 |          1 |        228 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\20.svg                              | XML         |        329 |          1 |          1 |        331 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\21.svg                              | XML         |        199 |          1 |          1 |        201 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\22.svg                              | XML         |        307 |          1 |          1 |        309 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\23.svg                              | XML         |        517 |          1 |          1 |        519 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\24.svg                              | XML         |        206 |          1 |          1 |        208 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\25.svg                              | XML         |        259 |          1 |          1 |        261 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\26.svg                              | XML         |        379 |          1 |          1 |        381 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\27.svg                              | XML         |        221 |          1 |          1 |        223 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\28.svg                              | XML         |        163 |          1 |          1 |        165 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\29.svg                              | XML         |        270 |          1 |          1 |        272 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\3.svg                               | XML         |        271 |          1 |          1 |        273 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\30.svg                              | XML         |        282 |          1 |          1 |        284 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\31.svg                              | XML         |        256 |          1 |          1 |        258 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\32.svg                              | XML         |        275 |          1 |          1 |        277 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\33.svg                              | XML         |        197 |          1 |          1 |        199 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\34.svg                              | XML         |        313 |          1 |          1 |        315 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\35.svg                              | XML         |        235 |          1 |          1 |        237 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\36.svg                              | XML         |        272 |          1 |          1 |        274 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\37.svg                              | XML         |        283 |          1 |          1 |        285 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\38.svg                              | XML         |        166 |          1 |          1 |        168 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\39.svg                              | XML         |        380 |          1 |          1 |        382 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\4.svg                               | XML         |        215 |          1 |          1 |        217 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\40.svg                              | XML         |        197 |          1 |          1 |        199 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\41.svg                              | XML         |        258 |          1 |          1 |        260 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\42.svg                              | XML         |        370 |          1 |          1 |        372 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\43.svg                              | XML         |        197 |          1 |          1 |        199 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\44.svg                              | XML         |        173 |          1 |          1 |        175 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\45.svg                              | XML         |        177 |          1 |          1 |        179 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\46.svg                              | XML         |        210 |          1 |          1 |        212 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\47.svg                              | XML         |        194 |          1 |          1 |        196 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\48.svg                              | XML         |        292 |          1 |          1 |        294 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\49.svg                              | XML         |        190 |          1 |          1 |        192 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\5.svg                               | XML         |        178 |          1 |          1 |        180 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\50.svg                              | XML         |        322 |          1 |          1 |        324 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\51.svg                              | XML         |        307 |          1 |          1 |        309 |
| d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\images\stickers\doodles\52.svg                              | XML         |        161 |          1 |          1 |        163 |
