"filename", "language", "JavaScript", "JSON", "XML", "Django HTML", "CSS", "PHP", "Pug", "Less", "SCSS", "comment", "blank", "total"
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\image.less", "Less", 0, 0, 0, 0, 0, 0, 0, 411, 0, 0, 0, 411
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\maps.less", "Less", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 165
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\navigation.less", "Less", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 63
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\notification.less", "Less", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 102
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\social.less", "Less", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 72
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\icons\toggle.less", "Less", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\material-design-iconic-font.less", "Less", 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 1, 15
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\mixins.less", "Less", 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 1, 15
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\path.less", "Less", 0, 0, 0, 0, 0, 0, 0, 10, 0, 2, 0, 12
"d:\Websites\Krish Sataisya - Portfolio\Projects\photo editing web application\assets\less\vendor\material-icons\pulled.less", "Less", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 6
